Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__10_36_38,1688740598282,0,None,0,0,0,0.7211903,-0.6580008,-0.2681286,-0.03355686,-0.03835069,0.04101393
07_07_2023__10_36_38,1688740598298,0,None,0,0,0,0.7211903,-0.6580008,-0.2681286,-0.03355686,-0.03835069,0.04101393
07_07_2023__10_36_38,1688740598315,0,None,0,0,0,0.7211903,-0.6580008,-0.2681286,-0.02343653,-0.03195891,0.04154658
07_07_2023__10_36_38,1688740598331,0,None,0,0,0,0.7211903,-0.6580008,-0.2681286,-0.01970799,-0.02823037,0.04420983
07_07_2023__10_36_38,1688740598349,0,None,0,0,0,0.7165548,-0.6638561,-0.2673967,-0.01225092,-0.02237124,0.04634042
07_07_2023__10_36_38,1688740598365,0,None,0,0,0,0.7165548,-0.6638561,-0.2673967,-0.01225092,-0.02237124,0.04634042
07_07_2023__10_36_38,1688740598382,0,None,0,0,0,0.7165548,-0.6638561,-0.2673967,-0.01171827,-0.01811005,0.04847101
07_07_2023__10_36_38,1688740598398,0,None,0,0,0,0.7165548,-0.6638561,-0.2673967,-0.01171827,-0.01012032,0.04793836
07_07_2023__10_36_38,1688740598415,0,None,0,0,0,0.7177746,-0.6616604,-0.2608094,-0.01171827,-0.01012032,0.04793836
07_07_2023__10_36_38,1688740598432,0,None,0,0,0,0.7185066,-0.6616604,-0.2615413,-0.01278356,-0.004261188,0.04953631
07_07_2023__10_36_38,1688740598449,0,None,0,0,0,0.7185066,-0.6616604,-0.2615413,-0.01491416,-0.001065297,0.04793836
07_07_2023__10_36_38,1688740598465,0,None,0,0,0,0.7185066,-0.6616604,-0.2615413,-0.01597945,0.0005326485,0.04261188
07_07_2023__10_36_38,1688740598482,0,None,0,0,0,0.714359,-0.6623923,-0.2554419,-0.01597945,0.0005326485,0.04261188
07_07_2023__10_36_38,1688740598499,0,None,0,0,0,0.713627,-0.6616604,-0.2561738,-0.01331621,-0.001065297,0.03835069
07_07_2023__10_36_38,1688740598516,0,None,0,0,0,0.713627,-0.6616604,-0.2561738,-0.01065297,-0.008522375,0.0351548
07_07_2023__10_36_38,1688740598532,0,None,0,0,0,0.713627,-0.6616604,-0.2561738,-0.01065297,-0.008522375,0.0351548
07_07_2023__10_36_38,1688740598549,0,None,0,0,0,0.7089915,-0.6606845,-0.254954,-0.009055025,-0.0186427,0.03142626
07_07_2023__10_36_38,1688740598565,0,None,0,0,0,0.7085036,-0.6582447,-0.2551979,-0.00692443,-0.02982831,0.02663242
07_07_2023__10_36_38,1688740598582,0,None,0,0,0,0.7085036,-0.6582447,-0.2551979,-0.007989727,-0.03728539,0.02024064
07_07_2023__10_36_38,1688740598599,0,None,0,0,0,0.7085036,-0.6582447,-0.2551979,-0.007989727,-0.03728539,0.02024064
07_07_2023__10_36_38,1688740598615,0,None,0,0,0,0.7085036,-0.6582447,-0.2551979,-0.007989727,-0.04154658,0.01278356
07_07_2023__10_36_38,1688740598632,0,None,0,0,0,0.7094795,-0.6584888,-0.2571497,-0.009055025,-0.04634042,0.007989727
07_07_2023__10_36_38,1688740598649,0,None,0,0,0,0.7094795,-0.6584888,-0.2571497,-0.009055025,-0.04634042,0.007989727
07_07_2023__10_36_38,1688740598666,0,None,0,0,0,0.7094795,-0.6584888,-0.2571497,-0.01278356,-0.04634042,0.01118562
