Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.066650391,22.53316307,0,0.6533653,-0.5650463,-0.5230826,-0.01811005,-0.0362201,0.0340895
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.066650391,22.53316307,0,0.6533653,-0.5650463,-0.5230826,-0.01811005,-0.0362201,0.0340895
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.100036621,26.10785294,0,0.6533653,-0.5650463,-0.5230826,-0.01704475,-0.03835069,0.03249156
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.100036621,26.10785294,0,0.6533653,-0.5650463,-0.5230826,-0.01970799,-0.03941599,0.02450183
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.133361816,19.35771942,0,0.6487297,-0.5645583,-0.5255223,-0.01970799,-0.03941599,0.02450183
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.133361816,19.35771942,0,0.6497056,-0.5643143,-0.5262542,-0.01970799,-0.03835069,0.0175774
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.166687012,19.13285828,0,0.6497056,-0.5643143,-0.5262542,-0.01704475,-0.0351548,0.0175774
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.166687012,19.13285828,0,0.6497056,-0.5643143,-0.5262542,-0.0186427,-0.03195891,0.02024064
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.200012207,11.10253429,0,0.6553171,-0.5628505,-0.5277181,-0.0186427,-0.03195891,0.02024064
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.200012207,11.10253429,0,0.655073,-0.5635824,-0.52845,-0.02024064,-0.03142626,0.02024064
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.233337402,4.730485916,0,0.655073,-0.5635824,-0.52845,-0.01970799,-0.02982831,0.01331621
07_06_2023__14_53_49,6.38243E+13,0,Pursuit,0.233337402,4.730485916,0,0.655073,-0.5635824,-0.52845,-0.01970799,-0.02982831,0.01331621
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6538532,-0.5635824,-0.529182,-0.01597945,-0.02929567,0.009587673
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6543411,-0.5645583,-0.5296699,-0.01331621,-0.03142626,0.006391782
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6543411,-0.5645583,-0.5296699,-0.01012032,-0.03568745,0.00692443
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6543411,-0.5645583,-0.5296699,-0.01012032,-0.03568745,0.00692443
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6543411,-0.5645583,-0.5296699,-0.01065297,-0.03675275,0.004793837
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.656049,-0.5606547,-0.5274741,-0.01171827,-0.03568745,0.003728539
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.656049,-0.5606547,-0.5274741,-0.01171827,-0.03568745,0.003728539
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.656049,-0.5606547,-0.5274741,-0.01118562,-0.03568745,0.000532649
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.656049,-0.5606547,-0.5274741,-0.01278356,-0.03142626,0.001065297
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6614164,-0.5621186,-0.5272301,-0.009055025,-0.02929567,0.01065297
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6614164,-0.5621186,-0.5272301,-0.009055025,-0.02929567,0.01065297
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6614164,-0.5621186,-0.5272301,-0.01118562,-0.02663242,0.01171827
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6614164,-0.5621186,-0.5272301,-0.0165121,-0.03089361,0.002663242
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6567808,-0.5530915,-0.5245464,-0.0165121,-0.03089361,0.002663242
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6540971,-0.5533354,-0.5238144,-0.02024064,-0.03941599,0.005859133
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6540971,-0.5533354,-0.5238144,-0.02130594,-0.04527512,0.0186427
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6540971,-0.5533354,-0.5238144,-0.01811005,-0.04101393,0.0175774
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6597086,-0.5567511,-0.5299138,-0.01811005,-0.04101393,0.0175774
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6601965,-0.557483,-0.5311337,-0.01331621,-0.03462215,0.01597945
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6601965,-0.557483,-0.5311337,-0.01384886,-0.03195891,0.02024064
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6601965,-0.557483,-0.5311337,-0.01384886,-0.03195891,0.02024064
07_06_2023__14_53_49,6.38243E+13,0,None,0,0,0,0.6565369,-0.5557752,-0.5328416,-0.01544681,-0.03195891,0.02450183
